Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0805,2,10uF,
C3,0805,1,100nF,
"C4, C5",0805,2,22uF,
D1,D_SMC,1,CDBC540-G,
J1,J_FM11x2_2.5476341-311LF,1,Conn_01x11,
"J2, J3",T_4_PhoenixContact_LPT_5_4-H-1x04_Horizontal,2,Conn_01x04,
L1,L_Bourns_SRP7028A_7.3x6.6mm,1,"3.3uH, 6A",
"Q1, Q2, Q3",SOT-323_SC-70,3,Si1308EDL,C3289597
"R1, R3, R5",0805,3,100R,C17475
"R2, R4, R6",0805,3,10k,C17414
R7,0805,1,56k2,C17475
R8,0805,1,10k,C17475
U$25,S3_MATRIXPORTAL_TOP,1,,
U$26,S3_MATRIXPORTAL_BOT,1,,
U1,SOT-23-6,1,TPS563200,
