Designator,Mid X,Mid Y,Rotation,Layer
C1,155.8011,-113.9116,270.0,top
C2,157.8011,-113.9116,270.0,top
C3,152.2771,-116.9176,180.0,top
C4,156.6901,-119.2456,180.0,top
C5,156.6901,-117.2456,180.0,top
D1,142.3391,-114.8006,90.0,top
J1,145.957783,-125.3286,270.0,bottom
J2,155.5511,-101.6286,180.0,top
J3,131.5511,-101.6286,180.0,top
L1,162.5321,-116.9176,270.0,top
Q1,123.5431,-112.0066,90.0,top
Q2,129.2581,-112.0066,90.0,top
Q3,134.9731,-112.0066,90.0,top
R1,123.4161,-116.9596,180.0,top
R2,123.4161,-114.9276,180.0,top
R3,129.2581,-116.8326,180.0,top
R4,129.2581,-114.8006,180.0,top
R5,134.9731,-116.8326,180.0,top
R6,134.9731,-114.8006,180.0,top
R7,146.9111,-113.9176,270.0,top
R8,148.9111,-113.9176,90.0,top
U$25,116.7511,-127.2286,0.0,top
U$26,180.2511,-127.2286,0.0,bottom
U1,152.2771,-113.9176,0.0,top
